created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed Aug 30 23:45:54 +0000 2023,1.69703E+18,Skenario peralihan ke kendaraan listrik,0,0,0,0,in,69470747,1.69687E+18,mamangilsen,https://twitter.com/mamangilsen/status/1697032091610046651
Wed Aug 30 23:42:34 +0000 2023,1.69703E+18,@CNNIndonesia salah satu cara pengalihan ke kendaraan listrik,0,0,0,0,in,118371948,1.69703E+18,Harian_Jogja,https://twitter.com/Harian_Jogja/status/1697029195568976145
Wed Aug 30 23:40:24 +0000 2023,1.69703E+18,@KompasTV Polusi udara solusinya kendaraan listrik,0,0,0,0,in,9.91667E+17,1.69696E+18,bobexlbud,https://twitter.com/bobexlbud/status/1697027361081041024
Wed Aug 30 23:31:04 +0000 2023,1.69703E+18,PMK-38 Tahun 2023 Insentif PPN untuk Kendaraan Listrik #beritajogja #jogja #jogjaistimewa https://t.co/RqNuvCyMOW https://t.co/Y1PbtrjWYs,0,0,0,0,in,427510607,1.69703E+18,WongIndonesiaOK,https://twitter.com/WongIndonesiaOK/status/1697025401355468942
Wed Aug 30 23:23:46 +0000 2023,1.69703E+18,@kegblgnunfaedh Nggak peduli yg penting subsidi kendaraan listrik,0,0,0,5,in,1.62372E+18,1.69687E+18,naraya_96,https://twitter.com/naraya_96/status/1697024448682184986
Wed Aug 30 23:15:59 +0000 2023,1.69703E+18,"Sdh ketebak kan arahnya...publik dipaksa"" beralih ke kendaraan listrik...klo sdh beralih TDL naik...Rezim ""sukses"" jualan kendaraan listrik &amp  batubara...UUD 45 pasal 33 dirumuskan dg baik oleh para pendiri bangsa...Rezim bangsat lah yg merusaknya @PartaiSocmed""",0,0,0,0,in,1.04981E+18,1.69702E+18,NiceBabble,https://twitter.com/NiceBabble/status/1697019433380893141
Wed Aug 30 23:12:12 +0000 2023,1.69702E+18,@CNNIndonesia Jualan mulu nih negara ke rakyatnya sendiri. Ujung2nya suruh migrasi ke kendaraan listrik wkwkwk.,0,0,0,0,in,1.16843E+18,1.69687E+18,Iwanhan3,https://twitter.com/Iwanhan3/status/1697018368250007600
Wed Aug 30 22:52:16 +0000 2023,1.69702E+18,Cara yg buruk utk memaksa masyarakat pindah ke kendaraan listrik..  Jadi teringat janji kampanye Jokowi di 2014,0,0,0,0,in,1.35547E+18,1.69696E+18,Rakasw_,https://twitter.com/Rakasw_/status/1697018045548646546
Wed Aug 30 22:48:02 +0000 2023,1.69702E+18,@CNNIndonesia Jika mau dicabut segera sosialisasi. Dan lagi program konversi motor listrik segera dilakukan agar masyarakat bisa beralih kendaraan listrik namun yg lbh penting angkutan umum diperbanyak. Tq,0,0,0,1,in,456440913,1.69696E+18,5ync0,https://twitter.com/5ync0/status/1697014023815090233
Wed Aug 30 22:46:45 +0000 2023,1.69702E+18,"@kegblgnunfaedh Sebenarnya kami ingin kendaraan listrik kami lebih laku sihh"" ehh""",0,0,0,0,in,1.44302E+18,1.69687E+18,AangKur54074556,https://twitter.com/AangKur54074556/status/1697013126431125770
Wed Aug 30 22:30:46 +0000 2023,1.69701E+18,@kegblgnunfaedh Agar beralih ke kendaraan listrik. Hmmmm aku tau tujuanmu baginda,0,1,0,2,in,1.1213E+18,1.69687E+18,Tukimin01133444,https://twitter.com/Tukimin01133444/status/1697012327487557974
Wed Aug 30 22:27:12 +0000 2023,1.69701E+18,@CNNIndonesia Super negara para?? Subsidi akhirnya dialihkan ke kendaraan listrik ??,0,0,0,0,in,1.64166E+18,1.69687E+18,SonyaTambu55523,https://twitter.com/SonyaTambu55523/status/1697010793815134264
Wed Aug 30 22:24:02 +0000 2023,1.69701E+18,@rajapokemon19 @CNNIndonesia Suruh pake Pertamax biar ga kuat beli. Trus subsidinya tambah ke kendaraan listrik,0,1,0,2,in,458841507,1.69687E+18,Gungkrisna12,https://twitter.com/Gungkrisna12/status/1697009134888210941
Wed Aug 30 22:20:32 +0000 2023,1.69701E+18,@liaasister @gendiswae73 ini kendaraan listrik yg ketika konslet terbakar susah dipadamkan,0,9,0,0,in,981988393,1.697E+18,banjarbase,https://twitter.com/banjarbase/status/1697004042294317295
Wed Aug 30 22:17:56 +0000 2023,1.69701E+18,@CNNIndonesia Memang itulah tujuan Pemerintah agar kita beralih ke kendaraan Listrik...,0,0,0,1,in,1.64309E+18,1.69688E+18,marhaenmuda,https://twitter.com/marhaenmuda/status/1696997500073464016
Wed Aug 30 22:11:21 +0000 2023,1.69701E+18,@Neng_sofyy @CNNIndonesia Nanti sekalian pindah ke kendaraan listrik,0,0,0,0,in,1.57501E+18,1.69687E+18,artnice27,https://twitter.com/artnice27/status/1696984829462761975
Wed Aug 30 21:51:07 +0000 2023,1.697E+18,/wal kira kira worth it ajalah kendaraan scoppy ku ganti dgn kendaraan listrik,0,0,0,0,in,1.63506E+18,1.69687E+18,Schlossthe6,https://twitter.com/Schlossthe6/status/1696982656330944749
